run_id,scale,rotate,slack,hic_drop,mom_pend,hic_pend,bric_drop,bric_pend
0,1.0,0.0,-1.0,195.2436027206686,58.271,64.12047739123734,0.3881936318758607,0.4299787810245884
1,1.025,0.0,-6.0,176.3956776405471,58.128,69.40923847620225,0.4039224300401904,0.4706954934405609
2,1.0899347424507142,7.943674921989441,-4.300000905990601,152.96982703689022,65.126,111.1446115652534,0.4085663291731617,0.4803839623369227
3,0.9767891636583954,-13.454166445881128,-12.457492316141725,204.696680873808,81.957,84.42383743213274,0.3836650616408851,0.4780288971522096
4,1.018432510085404,2.768108295276761,1.4538931008428335,176.8880273228835,51.804,65.42543950994066,0.3791410980119041,0.44999100765564
5,1.049219825475859,5.75934404825383,3.0,168.84687250307505,52.203,87.34404222098989,0.3729026664219131,0.44192706169178
6,1.0825477165337574,1.6058062740606611,3.0,163.16565489075666,71.784,140.2675474905604,0.376762630433999,0.4955453420572368
7,1.0732348229053352,13.035194349422955,-10.986652913397265,151.90702215860236,40.42,77.49698270071912,0.4157158063853634,0.4017801309423432
11,1.0534314140994605,15.0,-15.0,153.982541580117,23.288,53.83821307016397,0.4182432430715396,0.3411722345294763
14,1.0381386276036442,15.0,-8.103712800344777,158.062197145189,16.949,32.136014412054564,0.4068904578487675,0.3256508891121982
15,1.041290694553629,15.0,-15.0,156.56135580750455,15.638,31.985308428700016,0.4122791927596466,0.3192032594842305
16,1.0476348787706846,15.0,-15.0,155.57866768021816,19.044,35.99413369461946,0.4170229881002762,0.3349416995152958
17,0.95,15.0,-15.0,192.90960758722585,7.941,30.24083076923468,0.3749715319659318,0.3242773879786665
18,1.0163321999072106,15.0,-15.0,162.9228814072107,16.141,36.82121012107528,0.3908446342966422,0.2495446374765183
19,1.0096804571841165,15.0,3.0,168.63407748706825,16.456,29.34155620083227,0.3769559387967152,0.3365599542618038
20,0.95,15.0,3.0,192.56155206934545,8.4699,29.5067177673616,0.3728570168468527,0.3254758840033532
21,1.026954191735423,15.0,3.0,162.52437402953575,11.177,29.69100568477896,0.384538939519861,0.2968612928591617
22,1.1,-15.0,-15.0,164.13896306242106,68.295,165.7713534123213,0.417318307466362,0.4802941896524947
23,1.029046255231656,15.0,-15.0,160.21805016524564,11.248,24.90274219054233,0.4003601055937324,0.2829889771107318
24,1.0577871568531958,15.0,-15.0,152.596833636492,24.967,56.86697767007794,0.418792032219229,0.3432676759745517
25,0.975998560148066,15.0,-15.0,195.7945617585133,11.503,27.77713187234042,0.3565282611331399,0.3309549712757944
27,0.9949194726846068,15.0,-15.0,171.44318256551975,17.488,26.376551688419944,0.3981253371406266,0.3298326828864681
29,1.0528059756258796,15.0,3.0,156.02027321075195,22.587,54.3299412662746,0.4108983248663057,0.3475054886667026
30,0.95,10.951690111648638,3.0,203.7507694563768,24.115,38.87127716354313,0.3728558031294625,0.3620300138364173
32,1.0342366019637546,15.0,-15.0,158.53281701637948,14.502,29.52233224611487,0.4045098996291801,0.3073478737415506
33,0.9828255543525922,15.0,-15.0,183.98535664958592,13.931,25.831155246466786,0.3709056630527806,0.3276144466728051
35,1.0317940514370585,15.0,3.0,161.2892760908538,11.76,30.31707448333433,0.3886135905628703,0.3002376065732587
37,1.059800837575574,15.0,-15.0,151.94292349404637,25.45,58.35640654527999,0.41914491913313,0.3438388098510241
39,1.0556164246872508,15.0,-15.0,152.64779287218244,25.061,55.391690964929886,0.4184707252404547,0.3401919800883259
40,1.0506205078392563,15.0,-15.0,154.44757478333176,21.731,47.17237428420315,0.4181664261978574,0.3352265199257618
41,0.9805526079420384,15.0,3.0,188.3382130310285,11.31,27.35787193151946,0.3561423762171019,0.3331411469663414
42,0.9791008089468664,15.0,3.0,190.4338640047295,11.288,27.7688212439478,0.3604261171256524,0.3307512957506125
43,1.0383864393596198,15.0,-15.0,157.0096671603903,16.349,31.25350764468748,0.4095717508830377,0.3199166078796429
45,0.9822127435352568,15.0,3.0,185.3546054829639,12.507,26.69672320236277,0.3648973309333043,0.3293353108563014
46,1.0266797664457987,14.01003285083179,3.0,163.81860537353722,15.916,32.2888424124826,0.3832064288177746,0.3361792870897799
49,1.0487162756455939,-15.0,-2.1122719025113024,181.72727205913074,77.011,84.68241309720099,0.41964907319282996,0.5186617932848616
